"""TOA5"",""SVRI_AB"",""CR1000"",""56897"",""CR1000.Std.29"",""CPU:SVRI_2018_AB.CR1"",""47300"",""RH_and_Refs_30min_AB"""
"""TIMESTAMP"",""RECORD"",""Batt_volt_Min"",""PTemp"",""Air_T_one_A_Avg"",""RH_one_A_Avg"",""Air_T_two_A_Avg"",""RH_two_A_Avg"",""Air_T_three_A_Avg"",""RH_three_A_Avg"",""Air_T_four_B_Avg"",""Air_Temp_four_B_Avg"",""Air_T_five_B_Avg"",""RH_five_B_Avg"",""Air_T_six_B_Avg"",""RH_six_B_Avg"""
"""TS"",""RN"","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
""""","""",""Min"",""Smp"",""Avg"",""Avg"",""Avg"",""Avg"",""Avg"",""Avg"",""Avg"",""Avg"",""Avg"",""Avg"",""Avg"",""Avg"""
"""2018-06-14 14:30:00"",53,13,36.32,-3.872335,38.7713,-2.995507,36.3947,-4.159159,35.74632,-47.32444,-1.190035,-40.21016,-0.04462537,-40.21299,-0.07632294"
"""2018-06-14 15:00:00"",54,12.89,37.27,-2.295635,39.41351,-1.358917,38.51474,-2.192364,37.64907,-47.73236,-1.27024,-40.22554,-0.02875773,-40.20138,-0.08043119"
"""2018-06-14 15:30:00"",55,12.78,37.69,-0.7553062,40.85795,0.2424325,39.69287,-0.7270386,38.94916,-48.01542,-1.328999,-40.23809,-0.0273255,-40.19339,-0.07865974"
"""2018-06-14 16:00:00"",56,12.75,37.82,0.3029254,41.93514,1.435935,40.60814,0.501968,40.28747,-48.30605,-1.390661,-40.25441,-0.02751395,-40.17605,-0.08099654"
"""2018-06-14 16:30:00"",57,12.74,37.74,1.776693,42.80523,2.900506,42.19178,2.222457,42.01471,-48.68001,-1.468793,-40.27084,-0.02721243,-40.1583,-0.07990352"
"""2018-06-14 17:00:00"",58,12.73,36.85,3.092576,44.11119,4.183599,43.43107,3.440118,43.32384,-48.96774,-1.537238,-40.29052,-0.0347505,-40.12547,-0.06309363"
"""2018-06-14 17:30:00"",59,12.73,35.87,5.207118,45.3059,6.415206,45.40375,5.530802,45.55043,-49.45368,-1.641527,-40.31683,-0.05137194,-40.0937,-0.05585708"
"""2018-06-14 18:00:00"",60,12.73,35.48,5.846949,45.71993,7.016443,45.97325,6.140934,46.21499,-49.59886,-1.674808,-40.3256,-0.05487714,-40.07862,-0.05427409"
"""2018-06-14 18:30:00"",61,12.73,34.46,3.888144,43.71989,5.066759,44.17708,4.422367,44.1669,-49.15894,-1.587932,-40.3088,-0.054651,-40.06242,-0.04183628"
"""2018-06-14 19:00:00"",62,12.74,33.29,-5.890824,33.53227,-4.62967,34.58409,-4.787179,34.53166,-47.06794,-1.1555,-40.21725,-0.03705037,-40.05725,-0.03927425"
"""2018-06-14 19:30:00"",63,12.71,32.04,-13.18461,26.30008,-12.08293,27.05979,-11.96064,27.23943,-45.49716,-0.8384572,-40.14944,-0.03019678,-40.05063,-0.02729398"
"""2018-06-14 20:00:00"",64,12.7,30.4,-17.38888,21.84642,-16.34896,22.37733,-16.3683,23.04973,-44.59887,-0.6612844,-40.11224,-0.0268435,-40.03766,-0.02812539"
"""2018-06-14 20:30:00"",65,12.7,27.91,-24.04336,15.57855,-23.31506,15.77127,-23.93926,16.00729,-43.1731,-0.3955945,-40.06213,-0.01632613,-40.02782,-0.02718537"
"""2018-06-14 21:00:00"",66,12.69,25.1,-32.17607,7.486307,-31.52297,7.321609,-32.61197,7.900643,-41.57969,-0.133432,-40.01433,-0.003959935,-40.01353,-0.02194956"
"""2018-06-14 21:30:00"",67,12.67,23.24,-35.47452,4.097329,-34.67951,4.033287,-35.62478,4.880497,-40.97356,-0.01071119,-39.99099,-0.002489247,-40.00143,-0.01357768"
"""2018-06-14 22:00:00"",68,12.66,22.03,-37.99764,1.644015,-37.10071,1.410156,-38.16274,2.372762,-40.46884,0.04929894,-39.97805,-0.005280394,-40.00098,-0.01357905"
"""2018-06-14 22:30:00"",69,12.65,21.1,-40.92479,-1.325421,-40.04491,-1.535792,-41.13735,-0.5514436,-39.87874,0.09884667,-39.96888,-0.0001886393,-40,-0.01358191"
"""2018-06-14 23:00:00"",70,12.64,20.26,-44.00497,-4.340416,-43.1729,-4.592217,-44.21802,-3.695332,-39.23946,0.2787769,-39.94827,-0.002603278,-40.00528,-0.01358231"
"""2018-06-14 23:30:00"",71,12.63,19.55,-46.25953,-6.892282,-45.46316,-6.810411,-46.42071,-5.916618,-38.79215,0.3649122,-39.92918,-0.004451988,-40.00343,-0.01358234"
"""2018-06-15 00:00:00"",72,12.62,18.95,-47.49137,-8.057573,-46.53193,-7.879493,-47.38955,-6.908242,-38.59204,0.4354272,-39.91885,0,-40.0029,-0.01358234"
"""2018-06-15 00:30:00"",73,12.61,18.46,-49.96997,-10.43414,-48.96106,-10.61339,-49.96736,-9.494057,-38.07255,0.5314468,-39.89692,0,-40.0003,-0.01358234"
"""2018-06-15 01:00:00"",74,12.6,18.07,-51.56329,-12.49477,-50.68409,-12.01558,-51.51348,-10.99347,-37.77155,0.5834748,-39.89183,0,-40.00603,-0.01795887"
"""2018-06-15 01:30:00"",75,12.59,17.82,-52.3457,-13.38245,-51.1754,-12.53405,-51.87975,-11.32322,-37.70628,0.594831,-39.89161,-0.0003772873,-40.01358,-0.02716468"
"""2018-06-15 02:00:00"",76,12.59,17.66,-49.96656,-11.11209,-48.70067,-10.51763,-49.61002,-8.921475,-38.18713,0.5080027,-39.90371,-0.0129793,-40.02396,-0.02716593"
"""2018-06-15 02:30:00"",77,12.58,17.41,-49.45731,-9.667217,-48.31359,-10.78668,-49.61858,-9.160199,-38.13807,0.5160164,-39.90525,-0.01298054,-40.02747,-0.02716863"
"""2018-06-15 03:00:00"",78,12.57,16.96,-53.1447,-13.06492,-52.24561,-14.87876,-53.61841,-13.77419,-37.21772,0.6804748,-39.87184,-3.773604E-005,-40.03577,-0.02717063"
"""2018-06-15 03:30:00"",79,12.57,16.49,-56.71041,-16.62735,-55.90985,-18.0278,-57.03083,-17.0888,-36.56376,0.7979965,-39.85149,0,-40.04544,-0.03011733"
"""2018-06-15 04:00:00"",80,12.56,16.07,-59.07315,-19.08867,-58.17914,-21.00537,-59.48318,-19.42208,-36.11179,0.8734517,-39.83307,-0.0001509662,-40.0694,-0.0301932"
"""2018-06-15 04:30:00"",81,12.55,15.77,-60.69365,-20.86103,-59.72475,-21.89466,-60.89798,-20.64617,-35.88568,0.9110808,-39.82027,-0.01298309,-40.11081,-0.04683725"
"""2018-06-15 05:00:00"",82,12.54,15.48,-63.34257,-23.61386,-62.41832,-24.53196,-63.57035,-23.29227,-35.37538,0.9978863,-39.79838,-0.01098279,-40.17267,-0.06027324"
"""2018-06-15 05:30:00"",83,12.54,15.24,-63.80472,-24.08876,-62.81747,-24.94882,-64.05241,-23.72652,-35.28382,1.012455,-39.79442,-0.003962862,-40.27574,-0.08408815"
"""2018-06-15 06:00:00"",84,12.54,15.02,-64.94485,-25.73471,-63.98339,-25.85639,-65.0565,-24.57703,-35.1053,1.049139,-39.79152,-0.008680554,-40.38398,-0.1095259"
"""2018-06-15 06:30:00"",85,12.54,15.07,-65.2988,-25.82703,-63.87013,-26.2743,-65.06359,-24.67308,-35.08514,1.053593,-39.79185,-0.02000302,-40.54144,-0.1451917"
"""2018-06-15 07:00:00"",86,12.54,15.73,-59.62114,-12.72128,-57.66549,-23.06117,-59.94912,-19.43104,-36.1144,0.8736789,-39.83352,-0.04634661,-40.87847,-0.2251283"
"""2018-06-15 07:30:00"",87,12.54,17.26,-49.35356,-1.408892,-51.33065,-17.52464,-54.80668,-14.64436,-37.04483,0.7162966,-39.86703,-0.08484299,-41.401,-0.3480147"
"""2018-06-15 08:00:00"",88,12.54,19.44,-45.16148,1.789953,-48.29725,-12.82159,-51.45679,-11.60432,-37.64874,0.6147192,-39.88732,-0.148941,-42.06092,-0.5087124"
"""2018-06-15 08:30:00"",89,12.6,22,-39.88664,6.982396,-42.88462,-6.811379,-45.67768,-6.228193,-38.72674,0.3555246,-39.93628,-0.1936646,-42.15989,-0.5379072"
"""2018-06-15 09:00:00"",90,12.57,24.42,-36.91155,8.044998,-39.35324,-2.393286,-41.65584,-2.366631,-39.50462,0.2415103,-39.94647,-0.2222341,-41.70309,-0.4371556"
"""2018-06-15 09:30:00"",91,12.57,26.41,-34.12592,11.06771,-36.50571,1.524987,-38.23325,0.7821544,-40.14264,0.1559974,-39.95187,-0.207518,-41.02069,-0.2642068"
"""2018-06-15 10:00:00"",92,13.01,27.94,-30.97226,12.48588,-32.22896,6.485415,-33.5652,5.734113,-41.14272,-0.02183753,-39.98152,-0.1811499,-40.63114,-0.1587844"
"""2018-06-15 10:30:00"",93,13.13,29.25,-27.26789,15.20552,-28.15065,10.35159,-29.90977,9.721711,-41.94357,-0.1810316,-40.01414,-0.1620625,-40.4453,-0.1117881"
"""2018-06-15 11:00:00"",94,13.12,30.46,-24.03388,18.41563,-24.20796,14.82449,-25.63733,13.69736,-42.73605,-0.3479267,-40.04604,-0.1464568,-40.36049,-0.0894428"
"""2018-06-15 11:30:00"",95,13.11,31.05,-21.627,19.80072,-21.64997,17.54088,-22.95036,16.49826,-43.27832,-0.4209597,-40.05953,-0.1172957,-40.28183,-0.07808401"
"""2018-06-15 12:00:00"",96,13.27,31.47,-19.36454,21.91197,-19.20209,20.18782,-20.36775,19.01623,-43.76024,-0.5170448,-40.07782,-0.09651706,-40.23089,-0.06360323"
"""2018-06-15 12:30:00"",97,13.34,31.79,-16.91283,25.78295,-16.89488,22.4085,-18.17336,21.26246,-44.22307,-0.5916624,-40.09244,-0.08256289,-40.1954,-0.05523047"
"""2018-06-15 13:00:00"",98,13.46,31.62,-17.32347,24.4069,-17.35185,22.20375,-18.31893,21.11403,-44.19283,-0.6140876,-40.09983,-0.06529565,-40.15871,-0.05530523"
"""2018-06-15 13:30:00"",99,13.32,31.97,-12.78212,29.05089,-12.49017,26.63048,-13.61238,26.02117,-45.24422,-0.8293998,-40.14439,-0.06401455,-40.1416,-0.05428795"
"""2018-06-15 14:00:00"",100,13.32,32.44,-9.666631,31.66695,-9.145777,29.98495,-10.19936,29.54587,-46.00185,-0.9617487,-40.17421,-0.05662444,-40.13395,-0.05375931"
"""2018-06-15 14:30:00"",101,13,32.73,-10.58926,30.9006,-9.945988,29.46868,-10.92912,28.75416,-45.82978,-0.9350694,-40.16712,-0.05500407,-40.13546,-0.05428778"
"""2018-06-15 15:00:00"",102,12.87,32.92,-8.120669,33.26447,-7.410948,31.61547,-8.553305,31.24726,-46.3671,-1.068276,-40.19645,-0.05496517,-40.1235,-0.05406038"
"""2018-06-15 15:30:00"",103,12.77,33.03,-10.51001,30.90369,-9.915496,29.35337,-10.75877,28.88518,-45.85648,-0.9779288,-40.17691,-0.04693247,-40.11731,-0.05424551"
"""2018-06-15 16:00:00"",104,12.75,32.92,-12.87812,28.6766,-12.24938,26.79365,-13.14279,26.5254,-45.34826,-0.822127,-40.14359,-0.03109966,-40.11124,-0.05405707"
"""2018-06-15 16:30:00"",105,12.73,32.62,-13.3897,27.45528,-12.75719,26.33286,-13.50043,26.07273,-45.24995,-0.791825,-40.13689,-0.0277099,-40.11182,-0.04441131"
"""2018-06-15 17:00:00"",106,12.72,31.83,-14.62088,26.03315,-14.00101,25.15216,-14.90224,24.91039,-45.00219,-0.7956332,-40.1393,-0.02853934,-40.08908,-0.04071663"
"""2018-06-15 17:30:00"",107,12.72,31.33,-14.82664,25.44352,-14.06505,25.10753,-15.48949,24.84061,-44.98525,-0.7918242,-40.13945,-0.0292179,-40.08897,-0.04071658"
"""2018-06-15 18:00:00"",108,12.71,31.02,-16.54079,23.75946,-15.84185,23.32631,-16.97522,23.10113,-44.6142,-0.7182828,-40.12249,-0.02869057,-40.08667,-0.03732416"
"""2018-06-15 18:30:00"",109,12.72,29.78,-19.95571,20.14367,-19.28053,19.86049,-19.98915,19.58737,-43.86779,-0.5732294,-40.09278,-0.03027515,-40.06236,-0.02714583"
"""2018-06-15 19:00:00"",110,12.73,28.36,-23.34235,16.44978,-22.5569,16.24981,-23.21019,16.31081,-43.23655,-0.4958256,-40.08431,-0.02767582,-40.05479,-0.02665769"
"""2018-06-15 19:30:00"",111,12.7,27,-26.78678,13.08868,-26.05859,12.64102,-26.76287,13.10163,-42.61537,-0.3877023,-40.06456,-0.02715431,-40.03711,-0.02715431"
"""2018-06-15 20:00:00"",112,12.69,25.28,-31.49573,8.228451,-31.03907,7.777483,-31.89695,8.24678,-41.64935,-0.1975929,-40.02832,-0.0179527,-40.02968,-0.02715537"
"""2018-06-15 20:30:00"",113,12.68,23.01,-38.14845,1.808892,-37.77337,1.048804,-38.70544,1.536961,-40.29969,0.1075658,-39.96647,-0.009051817,-40.01531,-0.01655728"
"""2018-06-15 21:00:00"",114,12.67,20.91,-43.72021,-3.97569,-43.31942,-4.535533,-44.27047,-3.991907,-39.17963,0.3271169,-39.93832,-7.543182E-005,-40.0009,-0.01357936"
"""2018-06-15 21:30:00"",115,12.67,19.34,-48.49495,-8.958024,-48.12118,-9.27237,-48.95519,-8.673291,-38.23728,0.4984599,-39.9073,0,-40.00683,-0.013582"
"""2018-06-15 22:00:00"",116,12.66,18.23,-52.05362,-12.47408,-51.54025,-12.86061,-52.47426,-12.1879,-37.53326,0.6232397,-39.88406,0.01033766,-40.00713,-0.01358232"
"""2018-06-15 22:30:00"",117,12.65,17.44,-55.22736,-15.72057,-54.64006,-16.03365,-55.60315,-15.36734,-36.90173,0.7361851,-39.86202,0.01358274,-40.00509,-0.01358274"
"""2018-06-15 23:00:00"",118,12.64,16.79,-58.25615,-18.88791,-57.67362,-19.0585,-58.58804,-18.28,-36.33081,0.8358228,-39.84019,0.01358507,-40.00045,-0.01366055"
"""2018-06-15 23:30:00"",119,12.63,16.29,-60.82219,-21.12038,-60.19965,-21.8229,-61.21885,-21.24173,-35.77127,0.9289943,-39.81714,0.01358675,-40.01276,-0.02573936"
"""2018-06-16 00:00:00"",120,12.62,15.73,-64.88482,-24.98114,-64.2551,-26.22298,-65.367,-25.54801,-34.90226,1.088201,-39.7834,0.01358694,-40.01762,-0.02717388"
"""2018-06-16 00:30:00"",121,12.6,15.26,-66.47411,-26.70893,-65.71991,-28.31506,-66.91998,-26.97139,-34.60141,1.145003,-39.76894,0.01358695,-40.03347,-0.02815519"
"""2018-06-16 01:00:00"",122,12.6,14.97,-67.92945,-28.12039,-67.2258,-29.55782,-68.31902,-28.50917,-34.276,1.207729,-39.75955,0.01358695,-40.05669,-0.02849486"
"""2018-06-16 01:30:00"",123,12.59,14.61,-69.4538,-29.62873,-68.71108,-31.72905,-69.9961,-30.43036,-33.86907,1.283175,-39.73894,0.01358695,-40.09077,-0.03943991"
"""2018-06-16 02:00:00"",124,12.58,14.49,-70.25418,-31.0905,-69.30147,-31.84574,-70.40364,-30.11703,-33.93557,1.271701,-39.74121,0.004566726,-40.14149,-0.05555554"
"""2018-06-16 02:30:00"",125,12.57,14.42,-70.6953,-32.71305,-70.0956,-31.31759,-70.79343,-30.39511,-33.87723,1.283212,-39.73909,0,-40.2275,-0.07393567"
"""2018-06-16 03:00:00"",126,12.56,14.3,-71.84322,-34.20063,-71.06732,-32.52381,-71.86348,-31.38945,-33.66572,1.322426,-39.73951,-0.001169988,-40.31284,-0.09288193"
"""2018-06-16 03:30:00"",127,12.55,14.04,-72.91244,-35.13466,-72.1799,-33.50848,-73.24464,-32.80445,-33.36707,1.381189,-39.72116,-0.0003019323,-40.39757,-0.1094127"
"""2018-06-16 04:00:00"",128,12.54,13.59,-76.00188,-37.99527,-75.42575,-37.51879,-76.43787,-35.59495,-32.77449,1.491961,-39.69757,0.01052989,-40.42093,-0.1120546"
"""2018-06-16 04:30:00"",129,12.53,13.33,-77.80103,-41.10501,-76.4405,-39.09538,-77.41723,-36.44238,-32.59611,1.523133,-39.68798,0.01086982,-40.47325,-0.1291169"
"""2018-06-16 05:00:00"",130,12.53,13.4,-75.08793,-37.11937,-74.04805,-36.26606,-74.72308,-34.24934,-33.05965,1.436886,-39.70882,-0.00735976,-40.72065,-0.1855032"
"""2018-06-16 05:30:00"",131,12.52,13.52,-76.03398,-37.15287,-75.44725,-37.36064,-76.1951,-35.90883,-32.7105,1.505137,-39.69625,-0.03438262,-41.3102,-0.3220116"
"""2018-06-16 06:00:00"",132,12.51,13.38,-78.05737,-39.15453,-77.6076,-39.55361,-78.25344,-38.01408,-32.26642,1.591085,-39.68282,-0.06102865,-42.1428,-0.5095159"
"""2018-06-16 06:30:00"",133,12.51,13.23,-77.76012,-39.90063,-76.81434,-38.96251,-77.8684,-37.50914,-32.37231,1.571854,-39.68519,-0.06665289,-42.45649,-0.5782495"
"""2018-06-16 07:00:00"",134,12.52,13.73,-71.72806,-23.32151,-70.13612,-34.93389,-71.95792,-32.06397,-33.52328,1.351231,-39.72943,-0.08442841,-42.79334,-0.657311"
"""2018-06-16 07:30:00"",135,12.52,15.19,-61.7944,-7.325234,-65.29053,-28.60221,-67.54041,-27.79917,-34.4274,1.184418,-39.77034,-0.1647055,-43.71101,-0.874442"
"""2018-06-16 08:00:00"",136,12.53,17.36,-51.02246,-1.551706,-56.08429,-20.63747,-59.03833,-20.57769,-35.88654,0.9241781,-39.83374,-0.2887985,-44.4446,-1.062727"
"""2018-06-16 08:30:00"",137,12.58,19.89,-46.85724,-1.321775,-50.44201,-13.46435,-51.81951,-13.50508,-37.26751,0.6861774,-39.87585,-0.3439522,-44.39785,-1.066652"
"""2018-06-16 09:00:00"",138,12.56,22.75,-42.3026,1.920041,-45.6342,-7.455268,-47.3348,-8.092484,-38.34647,0.4945934,-39.90277,-0.420983,-43.85703,-0.961946"
"""2018-06-16 09:30:00"",139,12.56,25.19,-38.20052,7.621593,-41.72501,-2.553006,-43.48418,-3.909392,-39.18637,0.3404365,-39.9244,-0.428852,-42.69882,-0.712634"
"""2018-06-16 10:00:00"",140,13.02,27.18,-33.53512,11.69576,-36.46387,1.462555,-38.38703,0.1635682,-40.01584,0.1823589,-39.94456,-0.3975304,-41.68607,-0.4748493"
"""2018-06-16 10:30:00"",141,13.16,28.66,-31.21494,10.97567,-32.90536,6.113903,-34.19532,4.671616,-40.9286,0.01651992,-39.96737,-0.3542645,-41.06721,-0.3043667"
"""2018-06-16 11:00:00"",142,13.11,29.52,-28.42524,13.88412,-29.19031,10.76435,-30.14682,9.215056,-41.84408,-0.1497435,-40.00019,-0.2793587,-40.6674,-0.1837637"
"""2018-06-16 11:30:00"",143,13.12,30.02,-24.86398,16.88333,-25.41691,13.74428,-26.88586,12.5407,-42.50617,-0.2757278,-40.02865,-0.2102746,-40.44743,-0.1209541"
"""2018-06-16 12:00:00"",144,13.29,30.67,-19.88014,23.0207,-20.39457,18.58006,-21.69095,17.51445,-43.46549,-0.4470467,-40.06206,-0.173397,-40.33872,-0.09308918"
"""2018-06-16 12:30:00"",145,13.38,31.33,-16.87447,26.50058,-17.17918,21.95876,-18.64692,20.70234,-44.10548,-0.5636443,-40.08509,-0.1481691,-40.28967,-0.08192642"
"""2018-06-16 13:00:00"",146,13.33,32.04,-14.02765,28.66393,-14.23275,24.8605,-15.55613,23.68344,-44.74012,-0.691928,-40.11201,-0.1336879,-40.25927,-0.08124577"
