"""TOA5"",""SVRI_AB"",""CR1000"",""56897"",""CR1000.Std.29"",""CPU:SVRI_2018_AB.CR1"",""47300"",""Load_Cell_60min_AB"""
"""TIMESTAMP"",""RECORD"",""load_cell_A"",""load_cell_B"""
"""TS"",""RN"","""","""""
""""","""",""Smp"",""Smp"""
"""2018-06-14 15:00:00"",27,1324,1329"
"""2018-06-14 16:00:00"",28,1323,1328"
"""2018-06-14 17:00:00"",29,1324,1329"
"""2018-06-14 18:00:00"",30,1325,1330"
"""2018-06-14 19:00:00"",31,1325,1332"
"""2018-06-14 20:00:00"",32,1327,1334"
"""2018-06-14 21:00:00"",33,1330,1336"
"""2018-06-14 22:00:00"",34,1331,1338"
"""2018-06-14 23:00:00"",35,1332,1338"
"""2018-06-15 00:00:00"",36,1333,1339"
"""2018-06-15 01:00:00"",37,1333,1339"
"""2018-06-15 02:00:00"",38,1333,1339"
"""2018-06-15 03:00:00"",39,1334,1340"
"""2018-06-15 04:00:00"",40,1334,1340"
"""2018-06-15 05:00:00"",41,1335,1341"
"""2018-06-15 06:00:00"",42,1335,1341"
"""2018-06-15 07:00:00"",43,1334,1340"
"""2018-06-15 08:00:00"",44,1333,1339"
"""2018-06-15 09:00:00"",45,1330,1337"
"""2018-06-15 10:00:00"",46,1329,1334"
"""2018-06-15 11:00:00"",47,1327,1333"
"""2018-06-15 12:00:00"",48,1326,1332"
"""2018-06-15 13:00:00"",49,1327,1332"
"""2018-06-15 14:00:00"",50,1326,1331"
"""2018-06-15 15:00:00"",51,1326,1331"
"""2018-06-15 16:00:00"",52,1326,1332"
"""2018-06-15 17:00:00"",53,1326,1332"
"""2018-06-15 18:00:00"",54,1327,1332"
"""2018-06-15 19:00:00"",55,1329,1334"
"""2018-06-15 20:00:00"",56,1330,1336"
"""2018-06-15 21:00:00"",57,1333,1338"
"""2018-06-15 22:00:00"",58,1333,1339"
"""2018-06-15 23:00:00"",59,1334,1340"
"""2018-06-16 00:00:00"",60,1335,1340"
"""2018-06-16 01:00:00"",61,1335,1341"
"""2018-06-16 02:00:00"",62,1335,1341"
"""2018-06-16 03:00:00"",63,1335,1341"
"""2018-06-16 04:00:00"",64,1335,1341"
"""2018-06-16 05:00:00"",65,1335,1342"
"""2018-06-16 06:00:00"",66,1336,1342"
"""2018-06-16 07:00:00"",67,1335,1341"
"""2018-06-16 08:00:00"",68,1333,1340"
"""2018-06-16 09:00:00"",69,1331,1337"
"""2018-06-16 10:00:00"",70,1329,1335"
"""2018-06-16 11:00:00"",71,1328,1333"
"""2018-06-16 12:00:00"",72,1327,1332"
"""2018-06-16 13:00:00"",73,1326,1331"
"""2018-06-16 14:00:00"",74,1325,1331"
"""2018-06-16 15:00:00"",75,1325,1330"
